,STRUCTURE_NUMBER_008,Rating_2011,Rating_2012,Rating_2013,Rating_2014,Rating_2015,Rating_2016,Rating_2017,Rating_2018,Rating_2019,Rating_2020
265,30049,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
266,30050,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
267,30052,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
268,30054,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
269,30055,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
270,30057,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
271,30058,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
272,30059,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
273,30060,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
274,30061,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
275,30062,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
276,30063,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
277,30064,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
278,30065,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
279,30066,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
280,30067,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
281,30068,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
282,30069,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
283,30070,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
284,30071,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
285,30072,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
286,30073,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
287,30074,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
288,30075,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
289,30076,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0
290,30077,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
291,30078,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0
292,30079,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
293,30080,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
294,30081,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0
295,30082,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
296,30083,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
297,30084,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
298,30085,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
299,30086,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0
300,30087,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
301,30088,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
302,30089,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
303,30090,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
304,30091,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
305,30092,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
306,30093,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
307,30094,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
308,30095,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0
309,30097,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
310,30098,6.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0
311,30099,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
312,30100,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
